Name	Position	Preferred foot	Nation	League	Team	Gender
Nikola Moro	CDM	Right	Croatia	Serie A Enilive	Bologna	Male
Kevin Müller	GK	Right	Germany	Bundesliga	Heidenheim	Male
Rodrigo Muniz	ST	Right	Brazil	Premier League	Fulham	Male
Arijanet Murić	GK	Right	Kosovo	Premier League	Ipswich	Male
Yunus Musah	CM	Right	United States	Serie A Enilive	Milano FC	Male
Darlington Nagbe	CM	Right	United States	MLS	Columbus Crew	Male
Nahitan Nández	RM	Right	Uruguay	ROSHN Saudi League	Al Qadisiyah	Male
Amath Ndiaye	LM	Right	Senegal	LALIGA EA SPORTS	R. Valladolid CF	Male
Iliman Ndiaye	ST	Right	Senegal	Premier League	Everton	Male
Dan Ndoye	RM	Right	Switzerland	Serie A Enilive	Bologna	Male
Reiss Nelson	RW	Right	England	Premier League	Fulham	Male
Jota	LM	Right	Portugal	Ligue 1 McDonald's	Stade Rennais FC	Male
Bart Nieuwkoop	RM	Right	Holland	Eredivisie	Feyenoord	Male
Tijjani Noslin	ST	Right	Holland	Serie A Enilive	Latium	Male
Jake O'Brien	CB	Right	Republic of Ireland	Premier League	Everton	Male
Warmed Omari	CB	Right	France	Ligue 1 McDonald's	OL	Male
Bećir Omeragić	CB	Right	Switzerland	Ligue 1 McDonald's	Montpellier	Male
Raphael Onyedika	CDM	Right	Nigeria	1A Pro League	Club Brugge	Male
Henry Onyekuru	LM	Right	Nigeria	ROSHN Saudi League	Al Fayha	Male
Jayden Oosterwolde	LB	Left	Holland	Trendyol Süper Lig	Fenerbahçe	Male
Aimar Oroz	CM	Right	Spain	LALIGA EA SPORTS	CA Osasuna	Male
Francisco Ortega	LB	Left	Argentina	Hellas Liga	Olympiacos FC	Male
Azzedine Ounahi	CM	Right	Morocco	Hellas Liga	Panathinaikos	Male
Joseph Paintsil	RM	Right	Ghana	MLS	LA Galaxy	Male
Sebastián Palacios	RW	Right	Argentina	Libertadores	Talleres	Male
Alexandros Paschalakis	GK	Right	Greece	Hellas Liga	Olympiacos FC	Male
Luca Pellegrini	LB	Left	Italy	Serie A Enilive	Latium	Male
Rubén Peña	RB	Right	Spain	LALIGA EA SPORTS	CA Osasuna	Male
David Costa	CAM	Right	Portugal	Ligue 1 McDonald's	RC Lens	Male
Mathias Pereira Lage	LW	Right	Portugal	Ligue 1 McDonald's	Stade Brestois 29	Male
Enzo Pérez	CDM	Right	Argentina	Libertadores	Estudiantes	Male
Nehuén Pérez	CB	Right	Argentina	Liga Portugal	FC Porto	Male
Lucas Pérez	ST	Left	Spain	LALIGA HYPERMOTION	RC Deportivo	Male
Jaden Philogene	LM	Right	England	Premier League	Aston Villa	Male
Diogo Leite	CB	Left	Portugal	Bundesliga	Union Berlin	Male
Joel Pohjanpalo	ST	Right	Finland	Serie A Enilive	Venezia	Male
Ezequiel Ponce	ST	Right	Argentina	MLS	Houston Dynamo	Male
Marin Pongračić	CB	Right	Croatia	Serie A Enilive	Fiorentina	Male
Denys Popov	CB	Right	Ukraine	Ukrayina Liha	Dynamo Kyiv	Male
Ángelo Preciado	RB	Right	Ecuador	Česká Liga	Sparta Praha	Male
Vako	LM	Right	Georgia	CSL	Shandong Taishan	Male
Jarell Quansah	CB	Right	England	Premier League	Liverpool	Male
Nemanja Radonjić	CAM	Right	Serbia	Serie A Enilive	Torino	Male
Sandro	ST	Right	Spain	LALIGA EA SPORTS	UD Las Palmas	Male
Chris Ramos	ST	Right	Spain	LALIGA HYPERMOTION	Cádiz CF	Male
Milot Rashica	RM	Right	Kosovo	Trendyol Süper Lig	Beşiktaş	Male
Nicolas Raskin	CM	Right	Belgium	Scottish Prem	Rangers	Male
Harrison Reed	CDM	Right	England	Premier League	Fulham	Male
Fabian Reese	LM	Right	Germany	Bundesliga 2	Hertha BSC	Male
Sérgio Oliveira	CM	Right	Portugal	Trendyol Süper Lig	Galatasaray	Male
Panagiotis Retsos	CB	Right	Greece	Hellas Liga	Olympiacos FC	Male
Rodrigo Rey	GK	Right	Argentina	Primera División	Independiente	Male
Giovanni Reyna	RM	Right	United States	Bundesliga	Borussia Dortmund	Male
Luis Rioja	LM	Left	Spain	LALIGA EA SPORTS	Valencia CF	Male
Joel Robles	GK	Right	Spain	Liga Portugal	Estoril Praia	Male
Joe Rodon	CB	Right	Wales	EFL Championship	Leeds United	Male
Fábio Cardoso	CB	Right	Portugal	United Emirates League	Al Ain FC	Male
Paulo Oliveira	CB	Right	Portugal	Liga Portugal	SC Braga	Male
Sebastián Rodríguez	CM	Right	Uruguay	Libertadores	Alianza Lima	Male
Diego Rodríguez	GK	Left	Argentina	Sudamericana	Argentinos Jrs.	Male
Morgan Rogers	LM	Right	England	Premier League	Aston Villa	Male
Merlin Röhl	CM	Right	Germany	Bundesliga	SC Freiburg	Male
Matías Rojas	RW	Left	Paraguay	MLS	Inter Miami CF	Male
Benjamín Rollheiser	CAM	Left	Argentina	Liga Portugal	SL Benfica	Male
Zaid Romero	CB	Left	Argentina	1A Pro League	Club Brugge	Male
Pablo Rosario	CDM	Right	Holland	Ligue 1 McDonald's	OGC Nice	Male
Diego Rossi	CAM	Right	Uruguay	MLS	Columbus Crew	Male
Anthony Rouault	CB	Right	France	Bundesliga	VfB Stuttgart	Male
Daniel Felipe Ruiz	LM	Left	Colombia	Libertadores	Millonarios	Male
Georginio Rutter	CAM	Left	France	Premier League	Brighton	Male
Wesley Saïd	ST	Right	France	Ligue 1 McDonald's	RC Lens	Male
Eduardo Salvio	RW	Right	Argentina	Sudamericana	Lanús	Male
Lazar Samardžić	CM	Left	Serbia	Serie A Enilive	Bergamo Calcio	Male
Albert Sambi Lokonga	CM	Right	Belgium	LALIGA EA SPORTS	Sevilla FC	Male
Zaidu Sanusi	LB	Left	Nigeria	Liga Portugal	FC Porto	Male
Yusuf Sarı	RM	Left	Turkey	Trendyol Süper Lig	Adana Demirspor	Male
Martín Satriano	ST	Right	Uruguay	Ligue 1 McDonald's	RC Lens	Male
Keven Schlotterbeck	CB	Left	Germany	Bundesliga	FC Augsburg	Male
Romano Schmid	CAM	Right	Austria	Bundesliga	SV Werder Bremen	Male
Rob Schoofs	CM	Left	Belgium	1A Pro League	KV Mechelen	Male
Bruno Varela	GK	Right	Cape Verde Islands	Liga Portugal	Vitória SC	Male
Lawrence Shankland	ST	Right	Scotland	Scottish Prem	Hearts	Male
Ben Sheaf	CDM	Right	England	EFL Championship	Coventry City	Male
Vincent Sierro	CM	Right	Switzerland	Ligue 1 McDonald's	Toulouse FC	Male
David Silva	CAM	Right	Colombia	Libertadores	Millonarios	Male
Douglas Augusto	CM	Left	Brazil	Ligue 1 McDonald's	FC Nantes	Male
Asger Sørensen	CB	Right	Denmark	Česká Liga	Sparta Praha	Male
Junior Sornoza	CAM	Right	Ecuador	Libertadores	IDV	Male
Borna Sosa	LB	Left	Croatia	Serie A Enilive	Torino	Male
Ramón Sosa	LM	Right	Paraguay	Premier League	Nott'm Forest	Male
Boubakary Soumaré	CDM	Right	France	Premier League	Leicester City	Male
Stijn Spierings	CDM	Right	Holland	3F Superliga	Brøndby IF	Male
Jens Stage	CM	Right	Denmark	Bundesliga	SV Werder Bremen	Male
Jason Steele	GK	Right	England	Premier League	Brighton	Male
Renato Steffen	RW	Left	Switzerland	CSSL	FC Lugano	Male
Sem Steijn	CAM	Right	Holland	Eredivisie	FC Twente	Male
Miroslav Stevanović	RM	Right	Bosnia and Herzegovina	CSSL	Servette FC	Male
Luis Javier Suárez	ST	Right	Colombia	LALIGA HYPERMOTION	UD Almería	Male
Denis Suárez	CM	Right	Spain	LALIGA EA SPORTS	Villarreal CF	Male
Pavel Šulc	CAM	Right	Czech Republic	Česká Liga	Viktoria Plzeň	Male
Jonas Svensson	RB	Right	Norway	Trendyol Süper Lig	Beşiktaş	Male
Mile Svilar	GK	Right	Serbia	Serie A Enilive	AS Roma	Male
Sammie Szmodics	CAM	Right	Republic of Ireland	Premier League	Ipswich	Male
Terrats	CM	Left	Spain	LALIGA EA SPORTS	Villarreal CF	Male
Tetê	RM	Left	Brazil	Hellas Liga	Panathinaikos	Male
Adrien Thomasson	CAM	Right	France	Ligue 1 McDonald's	RC Lens	Male
Guus Til	CAM	Right	Holland	Eredivisie	PSV	Male
Tarik Tissoudali	ST	Right	Morocco	Hellas Liga	PAOK FC	Male
Hamed Traorè	CAM	Right	Côte d'Ivoire	Ligue 1 McDonald's	AJ Auxerre	Male
Adama Traoré	RM	Right	Spain	Premier League	Fulham	Male
Mike Trésor	LM	Right	Belgium	EFL Championship	Burnley	Male
Christopher Trimmel	RB	Right	Austria	Bundesliga	Union Berlin	Male
Christos Tzolis	LM	Right	Greece	1A Pro League	Club Brugge	Male
Felix Uduokhai	CB	Left	Germany	Trendyol Süper Lig	Beşiktaş	Male
Aurélio Buta	RM	Right	Portugal	Ligue 1 McDonald's	Stade de Reims	Male
Samuel Umtiti	CB	Left	France	Ligue 1 McDonald's	LOSC Lille	Male
Josha Vagnoman	RB	Right	Germany	Bundesliga	VfB Stuttgart	Male
Cote	LB	Left	Spain	LALIGA HYPERMOTION	R. Sporting	Male
Donny van de Beek	CM	Right	Holland	LALIGA EA SPORTS	Girona FC	Male
Maarten Vandevoordt	GK	Right	Belgium	Bundesliga	RB Leipzig	Male
Barnabás Varga	ST	Right	Hungary	Magyar Liga	Ferencvárosi TC	Male
Ruben Vargas	LM	Right	Switzerland	Bundesliga	FC Augsburg	Male
Franco Vázquez	CAM	Left	Argentina	Serie BKT	Cremonese	Male
Kevin	RB	Right	Spain	LALIGA HYPERMOTION	R. Sporting	Male
Alan Velasco	LM	Right	Argentina	MLS	FC Dallas	Male
Alejo Veliz	ST	Right	Argentina	LALIGA EA SPORTS	RCD Espanyol	Male
Simone Verdi	CAM	Left	Italy	Serie A Enilive	Como	Male
Iñigo Vicente	LM	Right	Spain	LALIGA HYPERMOTION	R. Racing Club	Male
Domagoj Vida	CB	Right	Croatia	Hellas Liga	AEK Athens	Male
Nacho Vidal	RB	Right	Spain	LALIGA EA SPORTS	CA Osasuna	Male
Rodrigo Villagra	CDM	Right	Argentina	Libertadores	River Plate	Male
Martin Vitík	CB	Right	Czech Republic	Česká Liga	Sparta Praha	Male
Kevin Vogt	CB	Right	Germany	Bundesliga	Union Berlin	Male
Aster Vranckx	CM	Right	Belgium	Bundesliga	VfL Wolfsburg	Male
Kai Wagner	LB	Left	Germany	MLS	Philadelphia	Male
Harry Wilson	RM	Left	Wales	Premier League	Fulham	Male
Andriy Yarmolenko	RM	Left	Ukraine	Ukrayina Liha	Dynamo Kyiv	Male
Ryan Yates	CDM	Right	England	Premier League	Nott'm Forest	Male
Kristoffer Zachariassen	CAM	Right	Norway	Magyar Liga	Ferencvárosi TC	Male
Bryan Zaragoza	RM	Right	Spain	LALIGA EA SPORTS	CA Osasuna	Male
Robin Zentner	GK	Right	Germany	Bundesliga	1. FSV Mainz 05	Male
Ramiz Zerrouki	CDM	Right	Algeria	Eredivisie	Feyenoord	Male
Walker Zimmerman	CB	Right	United States	MLS	Nashville SC	Male
Philip Zinckernagel	LM	Right	Denmark	Eliteserien	FK Bodø/Glimt	Male
Steven Zuber	ST	Right	Switzerland	Hellas Liga	AEK Athens	Male
Robert Žulj	ST	Right	Austria	Ö. Bundesliga	LASK	Male
Liel Abada	RW	Right	Israel	MLS	Charlotte FC	Male
Akor Jerome Adams	ST	Right	Nigeria	Ligue 1 McDonald's	Montpellier	Male
Anel Ahmedhodžić	CB	Right	Bosnia and Herzegovina	EFL Championship	Sheffield Utd	Male
Ludovic Ajorque	ST	Left	France	Ligue 1 McDonald's	Stade Brestois 29	Male
Akieme	LB	Left	Spain	Ligue 1 McDonald's	Stade de Reims	Male
Kevin Akpoguma	CB	Right	Nigeria	Bundesliga	TSG Hoffenheim	Male
Ali Al Bulayhi	CB	Left	Saudi Arabia	ROSHN Saudi League	Al Hilal	Male
Sultan Al Ghannam	RB	Right	Saudi Arabia	ROSHN Saudi League	Al Nassr	Male
Rubén Alcaraz	CM	Right	Spain	LALIGA HYPERMOTION	Cádiz CF	Male
Samú Costa	CDM	Left	Portugal	LALIGA EA SPORTS	RCD Mallorca	Male
Sergio Álvarez	CDM	Right	Spain	LALIGA HYPERMOTION	SD Eibar	Male
Vinícius	ST	Left	Brazil	Premier League	Fulham	Male
Tiago Gouveia	RM	Right	Portugal	Liga Portugal	SL Benfica	Male
Julian Araujo	RB	Right	Mexico	Premier League	AFC Bournemouth	Male
Arribas	CAM	Left	Spain	LALIGA HYPERMOTION	UD Almería	Male
Takuma Asano	RM	Right	Japan	LALIGA EA SPORTS	RCD Mallorca	Male
Lorenz Assignon	RB	Right	France	Ligue 1 McDonald's	Stade Rennais FC	Male
Eduard Atuesta	CM	Right	Colombia	MLS	LAFC	Male
Ludwig Augustinsson	LB	Left	Sweden	1A Pro League	RSC Anderlecht	Male
Gabriel Ávalos	ST	Right	Paraguay	Primera División	Independiente	Male
Ousseynou Ba	CB	Right	Senegal	Trendyol Süper Lig	Başakşehir	Male
Nedim Bajrami	CAM	Right	Albania	Scottish Prem	Rangers	Male
Patrick Bamford	ST	Left	England	EFL Championship	Leeds United	Male
Keidi Bare	CDM	Right	Albania	LALIGA HYPERMOTION	Real Zaragoza	Male
Vasilios Barkas	GK	Left	Greece	Eredivisie	FC Utrecht	Male
Nahuel Barrios	LW	Right	Argentina	Libertadores	San Lorenzo	Male
Toma Bašić	CM	Left	Croatia	Serie A Enilive	Latium	Male
Gelson Martins	RM	Right	Portugal	Hellas Liga	Olympiacos FC	Male
Jan Bednarek	CB	Right	Poland	Premier League	Southampton	Male
Armel Bella Kotchap	CB	Right	Germany	Premier League	Southampton	Male
László Bénes	CM	Left	Slovakia	Bundesliga	Union Berlin	Male
Manuel Benson	RM	Left	Angola	EFL Championship	Burnley	Male
Christian Benteke	ST	Right	Belgium	MLS	D.C. United	Male
Samuele Birindelli	RB	Right	Italy	Serie A Enilive	Monza	Male
Antonio Blanco	CDM	Right	Spain	LALIGA EA SPORTS	D. Alavés	Male
Rubén Blanco	GK	Right	Spain	Ligue 1 McDonald's	OM	Male
Arnaud Bodart	GK	Right	Belgium	1A Pro League	Standard Liège	Male
Valeriy Bondar	CB	Right	Ukraine	Ukrayina Liha	Shakhtar Donetsk	Male
Sebastiaan Bornauw	CB	Right	Belgium	Bundesliga	VfL Wolfsburg	Male
Rubén Botta	CAM	Left	Argentina	Libertadores	Talleres	Male
Edoardo Bove	CM	Right	Italy	Serie A Enilive	Fiorentina	Male
David Brooks	RM	Left	Wales	Premier League	AFC Bournemouth	Male
Josh Brownhill	CM	Right	England	EFL Championship	Burnley	Male
Matteo Brunori	ST	Right	Italy	Serie BKT	Palermo	Male
Pavel Bucha	CDM	Right	Czech Republic	MLS	FC Cincinnati	Male
Tajon Buchanan	RM	Right	Canada	Serie A Enilive	Lombardia FC	Male
Adam Buksa	ST	Left	Poland	3F Superliga	FC Midtjylland	Male
Wouter Burger	CDM	Left	Holland	EFL Championship	Stoke City	Male
Juan David Cabal	LB	Left	Colombia	Serie A Enilive	Juventus	Male
Leandro Cabrera	CB	Left	Uruguay	LALIGA EA SPORTS	RCD Espanyol	Male
Anthony Caci	LB	Right	France	Bundesliga	1. FSV Mainz 05	Male
Nicolò Cambiaghi	LW	Right	Italy	Serie A Enilive	Bologna	Male
Todd Cantwell	CAM	Right	England	EFL Championship	Blackburn Rovers	Male
Elia Caprile	GK	Right	Italy	Serie A Enilive	SSC Napoli	Male
Dani Cárdenas	GK	Right	Spain	LALIGA EA SPORTS	Rayo Vallecano	Male
Caro	GK	Right	Spain	LALIGA HYPERMOTION	Cádiz CF	Male
Ramiro Carrera	CM	Right	Argentina	Sudamericana	Lanús	Male
Léo Baptistão	RM	Right	Brazil	LALIGA HYPERMOTION	UD Almería	Male
Fábio Carvalho	CAM	Right	Portugal	Premier League	Brentford	Male
Vitor Carvalho	CDM	Right	Brazil	Liga Portugal	SC Braga	Male
Milton Casco	LB	Right	Argentina	Libertadores	River Plate	Male
Daniele Casiraghi	LM	Right	Italy	Serie BKT	Südtirol	Male
Leonardo Castro	ST	Right	Colombia	Libertadores	Millonarios	Male
Jonny	RB	Right	Spain	Hellas Liga	PAOK FC	Male
Matías Catalán	CB	Right	Chile	Libertadores	Talleres	Male
Daniel Cataño	CAM	Right	Colombia	Libertadores	Millonarios	Male
Václav Černý	RM	Left	Czech Republic	Scottish Prem	Rangers	Male
Ilias Chair	LM	Right	Morocco	EFL Championship	QPR	Male
Muhammed Cham	CAM	Left	Austria	Trendyol Süper Lig	Trabzonspor	Male
Calum Chambers	CB	Right	England	EFL Championship	Cardiff City	Male
Walid Cheddira	ST	Right	Morocco	LALIGA EA SPORTS	RCD Espanyol	Male
Mohamed-Ali Cho	RW	Left	France	Ligue 1 McDonald's	OGC Nice	Male
Tomáš Chorý	ST	Right	Czech Republic	Česká Liga	Slavia Praha	Male
Mojmír Chytil	ST	Right	Czech Republic	Česká Liga	Slavia Praha	Male
Pathé Ciss	CDM	Right	Senegal	LALIGA EA SPORTS	Rayo Vallecano	Male
Viktor Claesson	CM	Right	Sweden	3F Superliga	F.C. København	Male
Nathaniel Clyne	RB	Right	England	Premier League	Crystal Palace	Male
Conor Coady	CB	Right	England	Premier League	Leicester City	Male
Timothé Cognat	CM	Right	France	CSSL	Servette FC	Male
Séamus Coleman	RB	Right	Republic of Ireland	Premier League	Everton	Male
Facundo Colidio	ST	Right	Argentina	Libertadores	River Plate	Male
Omar Colley	CB	Left	Gambia	Hellas Liga	PAOK FC	Male
Tomás Conechny	LW	Left	Argentina	LALIGA EA SPORTS	D. Alavés	Male
Joaquín Correa	ST	Right	Argentina	Serie A Enilive	Lombardia FC	Male
Brayan Cortés	GK	Right	Chile	Libertadores	Colo-Colo	Male
Logan Costa	CB	Right	Cape Verde Islands	LALIGA EA SPORTS	Villarreal CF	Male
Lassana Coulibaly	CDM	Right	Mali	Serie A Enilive	Lecce	Male
Alessio Cragno	GK	Right	Italy	Serie A Enilive	Monza	Male
Aaron Cresswell	LB	Left	England	Premier League	West Ham	Male
Andrés Cubas	CDM	Right	Paraguay	MLS	Whitecaps FC	Male
Jorge Cuenca	CB	Left	Spain	Premier League	Fulham	Male
Patrick Cutrone	ST	Right	Italy	Serie A Enilive	Como	Male
Lucas Da Cunha	LM	Left	France	Serie A Enilive	Como	Male
Finn Dahmen	GK	Right	Germany	Bundesliga	FC Augsburg	Male
Patson Daka	ST	Right	Zambia	Premier League	Leicester City	Male
Flavius Daniliuc	CB	Right	Austria	Serie A Enilive	Hellas Verona	Male
Mohamed Daramy	LM	Right	Denmark	Ligue 1 McDonald's	Stade de Reims	Male
Pablo De Blasis	CM	Right	Argentina	Primera División	Gimnasia	Male
Maracás	CB	Right	Brazil	Liga Portugal	Moreirense FC	Male
Pedro De la Vega	RW	Right	Argentina	MLS	Sounders FC	Male
Natan	CB	Left	Brazil	LALIGA EA SPORTS	Real Betis	Male
Vinicius Souza	CDM	Right	Brazil	EFL Championship	Sheffield Utd	Male
Dani de Wit	CAM	Right	Holland	Bundesliga	VfL Bochum 1848	Male
Brecht Dejaegere	CM	Right	Belgium	1A Pro League	KV Kortrijk	Male
Pedrinho	RM	Left	Brazil	Ukrayina Liha	Shakhtar Donetsk	Male
Stefano Denswil	CB	Left	Suriname	Trendyol Süper Lig	Trabzonspor	Male
Habib Diallo	ST	Right	Senegal	ROSHN Saudi League	Damac FC	Male
Damián Díaz	CAM	Right	Ecuador	Primera División	Banfield	Male
Ismael Díaz	LW	Right	Panama	Sudamericana	U. Católica	Male
Leandro Díaz	ST	Right	Argentina	Sudamericana	Lanús	Male
Mohammed Diomande	CDM	Left	Côte d'Ivoire	Scottish Prem	Rangers	Male
Andy Diouf	CM	Left	France	Ligue 1 McDonald's	RC Lens	Male
Alberto Dossena	CB	Right	Italy	Serie A Enilive	Como	Male
David Douděra	RM	Right	Czech Republic	Česká Liga	Slavia Praha	Male
Tasos Douvikas	ST	Right	Greece	LALIGA EA SPORTS	RC Celta	Male
Tommy Doyle	CM	Right	England	Premier League	Wolves	Male
Ondrej Duda	CM	Right	Slovakia	Serie A Enilive	Hellas Verona	Male
Alfred Duncan	CM	Left	Ghana	Serie A Enilive	Venezia	Male
Maxime Dupé	GK	Right	France	Ligue 1 McDonald's	OGC Nice	Male
Jhon Durán	ST	Left	Colombia	Premier League	Aston Villa	Male
Filip Đuričić	CAM	Right	Serbia	Hellas Liga	Panathinaikos	Male
Rafiu Durosinmi	ST	Right	Nigeria	Česká Liga	Viktoria Plzeň	Male
Tyronne Ebuehi	RB	Right	Nigeria	Serie A Enilive	Empoli	Male
Rodrigo Echeverría	CM	Right	Chile	Primera División	Huracán	Male
Anwar El Ghazi	LM	Right	Holland	EFL Championship	Cardiff City	Male
Meschack Elia	ST	Right	Congo DR	CSSL	BSC Young Boys	Male
Gonzalo Escalante	CM	Right	Argentina	LALIGA HYPERMOTION	Cádiz CF	Male
Aarón	GK	Right	Spain	LALIGA HYPERMOTION	R. Oviedo	Male
Escudero	LB	Left	Spain	LALIGA HYPERMOTION	RC Deportivo	Male
Mateus Fernandes	CM	Right	Portugal	Premier League	Southampton	Male
Maxime Estève	CB	Left	France	EFL Championship	Burnley	Male
Jonny Evans	CB	Right	Northern Ireland	Premier League	Man Utd	Male
Edu Expósito	CM	Right	Spain	LALIGA EA SPORTS	RCD Espanyol	Male
Abdessamad Ezzalzouli	LM	Right	Morocco	LALIGA EA SPORTS	Real Betis	Male
Rasmus Falk	CM	Right	Denmark	3F Superliga	F.C. København	Male
Facundo Farías	ST	Right	Argentina	MLS	Inter Miami CF	Male
Federico Fattori	CDM	Right	Argentina	Primera División	Huracán	Male
Peque	CAM	Right	Spain	LALIGA EA SPORTS	Sevilla FC	Male
Evan Ferguson	ST	Right	Republic of Ireland	Premier League	Brighton	Male
Jean	GK	Left	Brazil	Libertadores	Cerro Porteño	Male
Nicolás Fernández	ST	Right	Argentina	Sudamericana	Belgrano	Male
Zian Flemming	ST	Right	Holland	EFL Championship	Burnley	Male
James Forrest	RW	Right	Scotland	Scottish Prem	Celtic	Male
Gabriel Pec	RW	Left	Brazil	MLS	LA Galaxy	Male
Dimitri Foulquier	RB	Right	France	LALIGA EA SPORTS	Valencia CF	Male
Mohamed Fouzair	RM	Right	Morocco	ROSHN Saudi League	Al Raed	Male
Roberto Gagliardini	CDM	Right	Italy	Serie A Enilive	Monza	Male
Hernán Galíndez	GK	Right	Ecuador	Primera División	Huracán	Male
Antonino Gallo	LB	Left	Italy	Serie A Enilive	Lecce	Male
Agustín García Basso	CB	Left	Argentina	Sudamericana	Racing Club	Male
Raúl García	ST	Right	Spain	LALIGA EA SPORTS	CA Osasuna	Male
Unai García	CB	Right	Spain	LALIGA EA SPORTS	CA Osasuna	Male
Kike García	ST	Right	Spain	LALIGA EA SPORTS	D. Alavés	Male
Johan Gastien	CDM	Right	France	Ligue 2 BKT	Clermont Foot 63	Male
Dennis Geiger	CDM	Right	Germany	Bundesliga	TSG Hoffenheim	Male
Andreas Gianniotis	GK	Right	Greece	Trendyol Süper Lig	Kasımpaşa	Male
Robert Glatzel	ST	Right	Germany	Bundesliga 2	Hamburger SV	Male
Wilfried Gnonto	RM	Right	Italy	EFL Championship	Leeds United	Male
Yeimar Gómez Andrade	CB	Right	Colombia	MLS	Sounders FC	Male
Sergio Gómez	LB	Left	Spain	LALIGA EA SPORTS	Real Sociedad	Male
Craig Goodwin	LM	Left	Australia	ROSHN Saudi League	Al Wehda	Male
Jon Gorenc Stanković	CDM	Right	Slovenia	Ö. Bundesliga	SK Sturm Graz	Male
Andreaw Gravillon	CB	Right	France	Trendyol Süper Lig	Adana Demirspor	Male
Florian Grillitsch	CB	Right	Austria	Bundesliga	TSG Hoffenheim	Male
Kamil Grosicki	LM	Right	Poland	PKO BP Ekstraklasa	Pogoń Szczecin	Male
Brajan Gruda	CAM	Left	Germany	Premier League	Brighton	Male
Gabriel Gudmundsson	LB	Left	Sweden	Ligue 1 McDonald's	LOSC Lille	Male
Evann Guessand	ST	Right	Côte d'Ivoire	Ligue 1 McDonald's	OGC Nice	Male
Rafik Guitane	RW	Left	Algeria	Liga Portugal	SC Braga	Male
Angus Gunn	GK	Right	Scotland	EFL Championship	Norwich	Male
Guridi	CAM	Left	Spain	LALIGA EA SPORTS	D. Alavés	Male
Emmanuel Gyasi	RM	Right	Ghana	Serie A Enilive	Empoli	Male
Janik Haberer	CM	Right	Germany	Bundesliga	Union Berlin	Male
Amir Hadžiahmetović	CDM	Right	Bosnia and Herzegovina	Trendyol Süper Lig	Çaykur Rizespor	Male
Ianis Hagi	CAM	Right	Romania	Scottish Prem	Rangers	Male
Massadio Haïdara	CB	Left	Mali	Ligue 1 McDonald's	Stade Brestois 29	Male
Haris Hajradinović	CM	Left	Bosnia and Herzegovina	Trendyol Süper Lig	Kasımpaşa	Male
Hákon Arnar Haraldsson	LM	Right	Iceland	Ligue 1 McDonald's	LOSC Lille	Male
Gauthier Hein	CAM	Left	France	Ligue 2 BKT	FC Metz	Male
Mees Hilgers	CB	Right	Holland	Eredivisie	FC Twente	Male
Marwin Hitz	GK	Right	Switzerland	CSSL	FC Basel 1893	Male
Emil Holm	RM	Right	Sweden	Serie A Enilive	Bologna	Male
Lewis Holtby	CM	Left	Germany	Bundesliga	Holstein Kiel	Male
Robin Hranáč	CB	Right	Czech Republic	Bundesliga	TSG Hoffenheim	Male
Patrik Hrošovský	CDM	Right	Slovakia	1A Pro League	KRC Genk	Male
Will Hughes	CDM	Left	England	Premier League	Crystal Palace	Male
Omari Hutchinson	RM	Left	Jamaica	Premier League	Ipswich	Male
Elseid Hysaj	LB	Right	Albania	Serie A Enilive	Latium	Male
Iborra	CDM	Right	Spain	LALIGA HYPERMOTION	Levante UD	Male
Juan Iglesias	RB	Right	Spain	LALIGA EA SPORTS	Getafe CF	Male
Kelechi Iheanacho	ST	Left	Nigeria	LALIGA EA SPORTS	Sevilla FC	Male
Danny Ings	ST	Right	England	Premier League	West Ham	Male
Jackson Irvine	CM	Right	Australia	Bundesliga	FC St. Pauli	Male
Carlos Izquierdoz	CB	Right	Argentina	Sudamericana	Lanús	Male
Armando Izzo	CB	Right	Italy	Serie A Enilive	Monza	Male
Iván Jaime	LM	Right	Spain	Liga Portugal	FC Porto	Male
Ismail Jakobs	LB	Left	Senegal	Trendyol Süper Lig	Galatasaray	Male
Lucas Janson	LM	Right	Argentina	Sudamericana	Boca Juniors	Male
Martin Jedlička	GK	Right	Czech Republic	Česká Liga	Viktoria Plzeň	Male
Tin Jedvaj	CB	Right	Croatia	Hellas Liga	Panathinaikos	Male
Fredrik Jensen	CAM	Right	Finland	Bundesliga	FC Augsburg	Male
Moritz Jenz	CB	Right	Germany	Bundesliga	1. FSV Mainz 05	Male
Raúl Jiménez	ST	Right	Mexico	Premier League	Fulham	Male
Viktor Johansson	GK	Right	Sweden	EFL Championship	Stoke City	Male
Jens Jønsson	CDM	Right	Denmark	Hellas Liga	AEK Athens	Male
Joo Min Kyu	ST	Right	Korea Republic	K League 1	Ulsan Hyundai	Male
Jesse Joronen	GK	Right	Finland	Serie A Enilive	Venezia	Male
Václav Jurečka	ST	Right	Czech Republic	Česká Liga	Slavia Praha	Male
Jutglà	ST	Right	Spain	1A Pro League	Club Brugge	Male
Lukáš Kalvach	CM	Right	Czech Republic	Česká Liga	Viktoria Plzeň	Male
Glen Kamara	CDM	Right	Finland	Ligue 1 McDonald's	Stade Rennais FC	Male
Efecan Karaca	CAM	Right	Turkey	Trendyol Süper Lig	Alanyaspor	Male
Oleksandr Karavaiev	RB	Right	Ukraine	Ukrayina Liha	Dynamo Kyiv	Male
Naby Keïta	CM	Right	Guinea	Bundesliga	SV Werder Bremen	Male
